,products name
0,SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator
1,"29,646 Ratings & 2,832 Reviews"
2,"29,646 Ratings "
3,&
4," 2,832 Reviews"
5,SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool
6,"4,124 Ratings & 546 Reviews"
7,"4,124 Ratings "
8,&
9, 546 Reviews
10,SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer
11,"45,389 Ratings & 5,295 Reviews"
12,"45,389 Ratings "
13,&
14," 5,295 Reviews"
15,Whirlpool 260 L Frost Free Triple Door Refrigerator
16,"28,240 Ratings & 3,541 Reviews"
17,"28,240 Ratings "
18,&
19," 3,541 Reviews"
20,SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator
21,"16,504 Ratings & 1,674 Reviews"
22,"16,504 Ratings "
23,&
24," 1,674 Reviews"
25,SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer
26,"9,807 Ratings & 1,072 Reviews"
27,"9,807 Ratings "
28,&
29," 1,072 Reviews"
30,Haier 190 L Direct Cool Single Door 2 Star Refrigerator
31,"6,761 Ratings & 681 Reviews"
32,"6,761 Ratings "
33,&
34, 681 Reviews
35,Whirlpool 300 L Frost Free Triple Door Refrigerator
36,"28,240 Ratings & 3,541 Reviews"
37,"28,240 Ratings "
38,&
39," 3,541 Reviews"
40,SAMSUNG 253 l Frost Free Double Door 2 Star Refrigerator
41,"6,993 Ratings & 729 Reviews"
42,"6,993 Ratings "
43,&
44, 729 Reviews
45,SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer
46,"45,389 Ratings & 5,295 Reviews"
47,"45,389 Ratings "
48,&
49," 5,295 Reviews"
50,SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator
51,"21,422 Ratings & 2,191 Reviews"
52,"21,422 Ratings "
53,&
54," 2,191 Reviews"
55,SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer
56,"6,702 Ratings & 795 Reviews"
57,"6,702 Ratings "
58,&
59, 795 Reviews
60,SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator
61,"6,863 Ratings & 739 Reviews"
62,"6,863 Ratings "
63,&
64, 739 Reviews
65,Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator
66,"5,566 Ratings & 445 Reviews"
67,"5,566 Ratings "
68,&
69, 445 Reviews
70,LG 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer
71,"5,218 Ratings & 487 Reviews"
72,"5,218 Ratings "
73,&
74, 487 Reviews
75,Godrej 185 L Direct Cool Single Door 2 Star Refrigerator
76,"1,288 Ratings & 125 Reviews"
77,"1,288 Ratings "
78,&
79, 125 Reviews
80,LG 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor
81,"6,850 Ratings & 752 Reviews"
82,"6,850 Ratings "
83,&
84, 752 Reviews
85,Godrej 185 L Direct Cool Single Door 4 Star Refrigerator
86,"9,090 Ratings & 1,004 Reviews"
87,"9,090 Ratings "
88,&
89," 1,004 Reviews"
90,LG 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer
91,"32,090 Ratings & 3,119 Reviews"
92,"32,090 Ratings "
93,&
94," 3,119 Reviews"
95,SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator
96,"13,439 Ratings & 1,393 Reviews"
97,"13,439 Ratings "
98,&
99," 1,393 Reviews"
100,Haier 170 L Direct Cool Single Door 2 Star Refrigerator
101,"2,910 Ratings & 255 Reviews"
102,"2,910 Ratings "
103,&
104, 255 Reviews
105,SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer
106,"3,980 Ratings & 415 Reviews"
107,"3,980 Ratings "
108,&
109, 415 Reviews
110,LG 190 L Direct Cool Single Door 3 Star Refrigerator
111,"11,465 Ratings & 1,344 Reviews"
112,"11,465 Ratings "
113,&
114," 1,344 Reviews"
115,SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator
116,"13,439 Ratings & 1,393 Reviews"
117,"13,439 Ratings "
118,&
119," 1,393 Reviews"
